State Fips Code,County Fips Code,Name,Housing Unit Estimate,Rodent Estimate,90% CI Lower Bound,90% CI Upper Bound
21,155,"Marion County, KY","8,372"," 	1,768 ", 	773 ," 	2,763 "
21,157,"Marshall County, KY","16,306"," 	2,807 "," 	1,227 "," 	4,387 "
21,159,"Martin County, KY","5,329"," 	1,126 ", 	492 ," 	1,760 "
21,161,"Mason County, KY","8,159"," 	1,709 ", 	747 ," 	2,671 "
21,163,"Meade County, KY","12,599"," 	2,856 "," 	1,248 "," 	4,464 "
21,165,"Menifee County, KY","3,807", 	645 , 	282 ," 	1,008 "
21,167,"Mercer County, KY","10,201"," 	1,996 ", 	872 ," 	3,119 "
21,169,"Metcalfe County, KY","4,753"," 	1,005 ", 	439 ," 	1,571 "
21,171,"Monroe County, KY","5,272"," 	1,219 ", 	533 ," 	1,905 "
21,173,"Montgomery County, KY","12,188"," 	1,870 ", 	817 ," 	2,922 "
21,175,"Morgan County, KY","6,043"," 	1,511 ", 	661 ," 	2,362 "
21,177,"Muhlenberg County, KY","13,841"," 	2,646 "," 	1,157 "," 	4,136 "
21,179,"Nelson County, KY","19,379"," 	3,139 "," 	1,488 "," 	4,790 "
21,181,"Nicholas County, KY","3,298"," 	1,157 ", 	506 ," 	1,808 "
21,183,"Ohio County, KY","10,460"," 	2,231 ", 	975 ," 	3,487 "
21,185,"Oldham County, KY","22,491"," 	2,790 "," 	1,288 "," 	4,292 "
21,187,"Owen County, KY","5,765"," 	1,215 ", 	531 ," 	1,898 "
21,189,"Owsley County, KY","2,364", 	548 , 	240 , 	857 
21,191,"Pendleton County, KY","6,386"," 	1,847 ", 	847 ," 	2,846 "
21,193,"Perry County, KY","13,066"," 	2,354 "," 	1,029 "," 	3,678 "
21,195,"Pike County, KY","31,150"," 	4,832 "," 	2,112 "," 	7,553 "
21,197,"Powell County, KY","5,711", 	870 , 	399 ," 	1,340 "
21,199,"Pulaski County, KY","31,529"," 	4,049 "," 	1,889 "," 	6,209 "
21,201,"Robertson County, KY","1,107", 	397 , 	173 , 	620 
21,203,"Rockcastle County, KY","7,901"," 	1,441 ", 	630 ," 	2,252 "
21,205,"Rowan County, KY","10,411"," 	1,501 ", 	656 ," 	2,346 "
21,207,"Russell County, KY","10,203"," 	2,237 ", 	978 ," 	3,496 "
21,209,"Scott County, KY","23,110"," 	2,824 "," 	1,234 "," 	4,415 "
21,211,"Shelby County, KY","18,448"," 	3,067 "," 	1,341 "," 	4,794 "
21,213,"Simpson County, KY","8,033"," 	1,161 ", 	507 ," 	1,814 "
21,215,"Spencer County, KY","7,521"," 	2,001 ", 	877 ," 	3,124 "
21,217,"Taylor County, KY","10,998"," 	1,969 ", 	861 ," 	3,077 "
21,219,"Todd County, KY","5,370"," 	1,562 ", 	683 ," 	2,442 "
21,221,"Trigg County, KY","7,977"," 	1,193 ", 	521 ," 	1,865 "
21,223,"Trimble County, KY","4,017"," 	1,061 ", 	464 ," 	1,659 "
21,225,"Union County, KY","6,249"," 	1,385 ", 	605 ," 	2,164 "
21,227,"Warren County, KY","55,942"," 	5,169 "," 	2,372 "," 	7,966 "
21,229,"Washington County, KY","5,228"," 	1,454 ", 	635 ," 	2,272 "
21,231,"Wayne County, KY","10,971"," 	1,629 ", 	712 ," 	2,546 "
21,233,"Webster County, KY","5,983"," 	1,835 ", 	802 ," 	2,868 "
21,235,"Whitley County, KY","15,530"," 	2,724 "," 	1,190 "," 	4,257 "
21,237,"Wolfe County, KY","3,754", 	804 , 	367 ," 	1,241 "
21,239,"Woodford County, KY","11,316"," 	1,914 ", 	836 ," 	2,991 "
22,001,"Acadia Parish, LA","26,657"," 	3,346 "," 	1,462 "," 	5,229 "
22,003,"Allen Parish, LA","10,052"," 	1,788 ", 	781 ," 	2,794 "
22,005,"Ascension Parish, LA","49,462"," 	3,344 "," 	1,461 "," 	5,226 "
22,007,"Assumption Parish, LA","10,939", 	776 , 	439 ," 	1,112 "
22,009,"Avoyelles Parish, LA","18,690"," 	2,490 "," 	1,088 "," 	3,892 "
22,011,"Beauregard Parish, LA","16,223"," 	2,107 ", 	921 ," 	3,293 "
22,013,"Bienville Parish, LA","7,945"," 	1,118 ", 	489 ," 	1,748 "
