ID,Name,State,temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,,
TX-035,Bosque County,Texas,68.7,3.6,115,65.1,,
TX-037,Bowie County,Texas,65.6,2.7,110,62.9,,
TX-039,Brazoria County,Texas,72.8,4.1,123,68.7,,
TX-041,Brazos County,Texas,70.8,3.9,121,66.9,,
TX-043,Brewster County,Texas,68.8,3,109,65.8,,
TX-045,Briscoe County,Texas,61,2.1,101,58.9,,
TX-047,Brooks County,Texas,76.7,3,111,73.7,,
TX-049,Brown County,Texas,68.1,3.5,113,64.6,,
TX-051,Burleson County,Texas,70.8,3.8,119,67,,
TX-053,Burnet County,Texas,68.8,2.7,111,66.1,,
TX-055,Caldwell County,Texas,71,3,111,68,,
TX-057,Calhoun County,Texas,73.5,3.9,122,69.6,,
TX-059,Callahan County,Texas,66.8,3,108,63.8,,
TX-061,Cameron County,Texas,77.4,2.9,113,74.5,,
TX-063,Camp County,Texas,66.8,3.2,112,63.6,,
TX-065,Carson County,Texas,60.1,4,114,56.1,,
TX-067,Cass County,Texas,66.2,2.5,108,63.7,,
TX-069,Castro County,Texas,58.4,2.4,104,56,,
TX-071,Chambers County,Texas,71.3,3.5,116,67.8,,
TX-073,Cherokee County,Texas,68.1,3,110,65.1,,
TX-075,Childress County,Texas,63.5,2.4,102,61.1,,
TX-077,Clay County,Texas,65.6,2.4,105,63.2,,
TX-079,Cochran County,Texas,59.7,2.1,100,57.6,,
TX-081,Coke County,Texas,68,3.6,114,64.4,,
TX-083,Coleman County,Texas,68.3,3.9,116,64.4,,
TX-085,Collin County,Texas,67,3.7,118,63.3,,
TX-087,Collingsworth County,Texas,61.8,2.4,100,59.4,,
TX-089,Colorado County,Texas,72.7,4.4,123,68.3,,
TX-091,Comal County,Texas,70.3,3,112,67.3,,
TX-093,Comanche County,Texas,67.9,3.6,115,64.3,,
TX-095,Concho County,Texas,69.2,4.5,118,64.7,,
TX-097,Cooke County,Texas,65.8,2.6,109,63.2,,
TX-099,Coryell County,Texas,68.6,3.4,114,65.2,,
TX-101,Cottle County,Texas,63.6,1.5,97,62.1,,
TX-103,Crane County,Texas,69,3.3,107,65.7,,
TX-105,Crockett County,Texas,69.8,4.2,116,65.6,,
TX-107,Crosby County,Texas,61.6,1.6,96,60,,
TX-109,Culberson County,Texas,63.8,2.5,104,61.3,,
TX-111,Dallam County,Texas,55.9,2.8,106,53.1,,
TX-113,Dallas County,Texas,67.4,2.6,109,64.8,,
TX-115,Dawson County,Texas,63.3,1.2,85,62.1,,
TX-117,Deaf Smith County,Texas,58,3.1,110,54.9,,
TX-119,Delta County,Texas,67.2,4.3,122,62.9,,
TX-121,Denton County,Texas,67,2.9,111,64.1,,
TX-123,DeWitt County,Texas,72.8,3.5,120,69.3,,
TX-125,Dickens County,Texas,62.8,1.1,93,61.7,,
TX-127,Dimmit County,Texas,76.7,4.5,122,72.2,,
TX-129,Donley County,Texas,60.9,2.7,103,58.2,,
TX-131,Duval County,Texas,76.1,3.6,117,72.5,,
TX-133,Eastland County,Texas,67.1,3.3,110,63.8,,
TX-135,Ector County,Texas,66.9,3.1,106,63.8,,
TX-137,Edwards County,Texas,71.3,5.6,127,65.7,,
TX-139,Ellis County,Texas,67.4,2.1,102,65.3,,
TX-141,El Paso County,Texas,63.9,2,99,61.9,,
TX-143,Erath County,Texas,68.1,4,117,64.1,,
TX-145,Falls County,Texas,68.9,3.3,114,65.6,,
TX-147,Fannin County,Texas,66.6,4,118,62.6,,
TX-149,Fayette County,Texas,71.8,3.9,121,67.9,,
TX-151,Fisher County,Texas,65.9,2.4,105,63.5,,
TX-153,Floyd County,Texas,60.1,1.6,96,58.5,,
TX-155,Foard County,Texas,64.1,1.3,97,62.8,,
TX-157,Fort Bend County,Texas,72.9,4.4,124,68.5,,
TX-159,Franklin County,Texas,67.2,3.9,122,63.3,,
TX-161,Freestone County,Texas,67.7,2.3,105,65.4,,
TX-163,Frio County,Texas,74.4,3.8,118,70.6,,
TX-165,Gaines County,Texas,63.3,2.2,103,61.1,,
TX-167,Galveston County,Texas,72.4,4,123,68.4,,
TX-169,Garza County,Texas,63.9,1.6,95,62.3,,
TX-171,Gillespie County,Texas,68.7,3.7,116,65,,
TX-173,Glasscock County,Texas,66,2.3,100,63.7,,
TX-175,Goliad County,Texas,73.6,3.5,118,70.1,,
TX-177,Gonzales County,Texas,72.1,3.3,116,68.8,,
TX-179,Gray County,Texas,60.5,3.8,111,56.7,,
TX-181,Grayson County,Texas,66.2,3.2,114,63,,
TX-183,Gregg County,Texas,67.7,2.9,112,64.8,,
TX-185,Grimes County,Texas,70.9,3.9,122,67,,
TX-187,Guadalupe County,Texas,71.4,2.9,111,68.5,,
TX-189,Hale County,Texas,59.8,2,101,57.8,,
TX-191,Hall County,Texas,62.6,2.1,100,60.5,,
TX-193,Hamilton County,Texas,68.3,3.7,116,64.6,,
TX-195,Hansford County,Texas,60,4.1,115,55.9,,
TX-197,Hardeman County,Texas,64,2,102,62,,
TX-199,Hardin County,Texas,70.1,3.2,115,66.9,,
TX-201,Harris County,Texas,72.6,4.3,124,68.3,,
TX-203,Harrison County,Texas,67.2,2.3,109,64.9,,
TX-205,Hartley County,Texas,57.4,3.2,109,54.2,,
TX-207,Haskell County,Texas,65.8,2,106,63.8,,
TX-209,Hays County,Texas,70,3.1,110,66.9,,
TX-211,Hemphill County,Texas,62,4.9,120,57.1,,
TX-213,Henderson County,Texas,66.7,2,103,64.7,,
TX-215,Hidalgo County,Texas,77.8,2.5,106,75.3,,
TX-217,Hill County,Texas,67.9,2.5,107,65.4,,
TX-219,Hockley County,Texas,60.6,2.1,100,58.5,,
TX-221,Hood County,Texas,68.3,3.4,115,64.9,,
TX-223,Hopkins County,Texas,67.4,4.3,122,63.1,,
TX-225,Houston County,Texas,68.9,2.9,113,66,,
TX-227,Howard County,Texas,65.3,1.5,94,63.8,,
TX-229,Hudspeth County,Texas,62.5,2.2,96,60.3,,
TX-231,Hunt County,Texas,67,4,119,63,,
TX-233,Hutchinson County,Texas,61.3,4.3,115,57,,
TX-235,Irion County,Texas,68.2,3.8,114,64.4,,
TX-237,Jack County,Texas,66.3,3,110,63.3,,
TX-239,Jackson County,Texas,73.1,4.1,123,69,,
TX-241,Jasper County,Texas,69.6,3.5,117,66.1,,
TX-243,Jeff Davis County,Texas,63.7,3,108,60.7,,
TX-245,Jefferson County,Texas,70.6,3,110,67.6,,
TX-247,Jim Hogg County,Texas,76.9,3,111,73.9,,
TX-249,Jim Wells County,Texas,75.7,3.4,117,72.3,,
TX-251,Johnson County,Texas,67.6,2.7,113,64.9,,
TX-253,Jones County,Texas,66.8,2.7,108,64.1,,
TX-255,Karnes County,Texas,73.1,3.2,117,69.9,,
TX-257,Kaufman County,Texas,66.8,2.2,104,64.6,,
TX-259,Kendall County,Texas,69.2,3.1,115,66.1,,
TX-261,Kenedy County,Texas,76,2.7,108,73.3,,
TX-263,Kent County,Texas,64.6,1.6,97,63.1,,
TX-265,Kerr County,Texas,69.3,4.4,119,64.9,,
TX-267,Kimble County,Texas,70.2,5.6,124,64.6,,
TX-269,King County,Texas,64,1.1,95,62.9,,
TX-271,Kinney County,Texas,75.1,5.3,127,69.8,,
TX-273,Kleberg County,Texas,75.5,3.4,116,72.1,,
TX-275,Knox County,Texas,64.6,1.1,95,63.5,,
TX-277,Lamar County,Texas,66.3,3.7,120,62.6,,
TX-279,Lamb County,Texas,59.1,1.9,97,57.2,,
TX-281,Lampasas County,Texas,68.2,2.9,112,65.3,,
TX-283,La Salle County,Texas,76.2,4.1,120,72.1,,
TX-285,Lavaca County,Texas,72.9,4.3,123,68.6,,
TX-287,Lee County,Texas,70.6,3.6,116,67,,
TX-289,Leon County,Texas,69,3.1,114,65.9,,
TX-291,Liberty County,Texas,71.1,3.5,117,67.6,,
TX-293,Limestone County,Texas,68,2.6,108,65.4,,
TX-295,Lipscomb County,Texas,61,4.8,120,56.2,,
TX-297,Live Oak County,Texas,74.9,3.6,118,71.3,,
TX-299,Llano County,Texas,69.3,3.1,112,66.2,,
TX-301,Loving County,Texas,67.2,3,107,64.2,,
TX-303,Lubbock County,Texas,61.8,2.7,105,59.1,,
TX-305,Lynn County,Texas,62.6,1.9,94,60.7,,
TX-307,McCulloch County,Texas,69.1,4.3,115,64.8,,
TX-309,McLennan County,Texas,68.5,3,111,65.5,,
TX-311,McMullen County,Texas,75.4,3.8,117,71.6,,
TX-313,Madison County,Texas,70.1,3.6,119,66.5,,
TX-315,Marion County,Texas,66.8,2.3,108,64.5,,
TX-317,Martin County,Texas,65.1,1.7,95,63.4,,
TX-319,Mason County,Texas,69.9,4.6,117,65.3,,
TX-321,Matagorda County,Texas,73,4.2,123,68.8,,
TX-323,Maverick County,Texas,76.8,4.9,122,71.9,,
TX-325,Medina County,Texas,72.3,3.4,114,68.9,,
TX-327,Menard County,Texas,69.5,5.5,121,64,,
TX-329,Midland County,Texas,66.4,2.4,100,64,,
TX-331,Milam County,Texas,69.6,3.5,114,66.1,,
TX-333,Mills County,Texas,68,3.3,114,64.7,,
TX-335,Mitchell County,Texas,66.3,2.3,103,64,,
TX-337,Montague County,Texas,65.4,2.4,103,63,,
TX-339,Montgomery County,Texas,71.5,4,121,67.5,,
TX-341,Moore County,Texas,59.5,3.8,115,55.7,,
TX-343,Morris County,Texas,66.4,2.8,110,63.6,,
TX-345,Motley County,Texas,62.5,1.5,100,61,,
TX-347,Nacogdoches County,Texas,68.6,3.3,111,65.3,,
TX-349,Navarro County,Texas,67.4,2.1,101,65.3,,
TX-351,Newton County,Texas,69.6,3.6,116,66,,
TX-353,Nolan County,Texas,66.3,3.2,111,63.1,,
TX-355,Nueces County,Texas,75.4,3.6,122,71.8,,
TX-357,Ochiltree County,Texas,60.4,4.3,116,56.1,,
TX-359,Oldham County,Texas,59,3.3,111,55.7,,
TX-361,Orange County,Texas,70.4,3.2,113,67.2,,
TX-363,Palo Pinto County,Texas,67.7,3.5,114,64.2,,
TX-365,Panola County,Texas,67.8,2.6,109,65.2,,
TX-367,Parker County,Texas,67.1,2.8,109,64.3,,
TX-369,Parmer County,Texas,58.4,3,108,55.4,,
TX-371,Pecos County,Texas,68.3,3.5,111,64.8,,
TX-373,Polk County,Texas,69.8,3.2,116,66.6,,
TX-375,Potter County,Texas,59.9,3.6,112,56.3,,
TX-377,Presidio County,Texas,67.3,2.9,107,64.4,,
TX-379,Rains County,Texas,66.9,3.6,115,63.3,,
TX-381,Randall County,Texas,58.8,2.9,105,55.9,,
TX-383,Reagan County,Texas,67.2,2.8,108,64.4,,
TX-385,Real County,Texas,70.9,5,125,65.9,,
TX-387,Red River County,Texas,66.1,3.5,120,62.6,,
TX-389,Reeves County,Texas,67.6,3.2,108,64.4,,
TX-391,Refugio County,Texas,74,3.5,119,70.5,,
TX-393,Roberts County,Texas,61.3,4.3,117,57,,
TX-395,Robertson County,Texas,69.7,3.6,119,66.1,,
TX-397,Rockwall County,Texas,66.9,3.1,113,63.8,,
TX-399,Runnels County,Texas,68.5,3.9,115,64.6,,
TX-401,Rusk County,Texas,68,3,111,65,,
TX-403,Sabine County,Texas,69,3.7,119,65.3,,
TX-405,San Augustine County,Texas,69,3.6,118,65.4,,
TX-407,San Jacinto County,Texas,70.4,3.4,117,67,,
TX-409,San Patricio County,Texas,74.7,3.4,120,71.3,,
TX-411,San Saba County,Texas,68.6,3.3,113,65.3,,
TX-413,Schleicher County,Texas,68.9,4.7,117,64.2,,
TX-415,Scurry County,Texas,65,1.9,100,63.1,,
TX-417,Shackelford County,Texas,67.3,3.2,114,64.1,,
TX-419,Shelby County,Texas,68.1,3,109,65.1,,
TX-421,Sherman County,Texas,58.4,3.5,112,54.9,,
TX-423,Smith County,Texas,67.2,2.8,109,64.4,,
TX-425,Somervell County,Texas,68.7,3.6,115,65.1,,
TX-427,Starr County,Texas,78,2.7,109,75.3,,
TX-429,Stephens County,Texas,67.5,3.6,113,63.9,,
TX-431,Sterling County,Texas,67,3.1,109,63.9,,
TX-433,Stonewall County,Texas,65.1,1.5,95,63.6,,
TX-435,Sutton County,Texas,70.2,5.4,122,64.8,,
TX-437,Swisher County,Texas,59.1,2.2,103,56.9,,
TX-439,Tarrant County,Texas,67.4,2.5,107,64.9,,
TX-441,Taylor County,Texas,66.9,3.1,112,63.8,,
TX-443,Terrell County,Texas,71.3,3.9,117,67.4,,
TX-445,Terry County,Texas,62,2,97,60,,
TX-447,Throckmorton County,Texas,66.6,2.8,108,63.8,,
TX-449,Titus County,Texas,66.7,3.5,118,63.2,,
TX-451,Tom Green County,Texas,69,4.2,114,64.8,,
TX-453,Travis County,Texas,70,2.9,109,67.1,,
TX-455,Trinity County,Texas,69.5,3.2,115,66.3,,
TX-457,Tyler County,Texas,69.5,3.3,117,66.2,,
TX-459,Upshur County,Texas,67,2.9,112,64.1,,
TX-461,Upton County,Texas,68,2.8,106,65.2,,
TX-463,Uvalde County,Texas,73.6,4.4,119,69.2,,
TX-465,Val Verde County,Texas,74.3,5.7,128,68.6,,
TX-467,Van Zandt County,Texas,66.4,2.4,106,64,,
TX-469,Victoria County,Texas,73.4,3.8,121,69.6,,
TX-471,Walker County,Texas,70.2,3.4,117,66.8,,
TX-473,Waller County,Texas,72.1,4.2,121,67.9,,
TX-475,Ward County,Texas,68.7,3.5,110,65.2,,
TX-477,Washington County,Texas,71.5,4,121,67.5,,
TX-479,Webb County,Texas,77.3,4,118,73.3,,
TX-481,Wharton County,Texas,73,4.3,123,68.7,,
TX-483,Wheeler County,Texas,61.4,3.5,111,57.9,,
TX-485,Wichita County,Texas,65.3,2.4,105,62.9,,
TX-487,Wilbarger County,Texas,64.8,2.1,102,62.7,,
TX-489,Willacy County,Texas,76.8,2.6,109,74.2,,
TX-491,Williamson County,Texas,69.2,2.9,109,66.3,,
TX-493,Wilson County,Texas,72.4,3,113,69.4,,
TX-495,Winkler County,Texas,67.4,3.4,110,64,,
TX-497,Wise County,Texas,66.3,2.6,107,63.7,,
TX-499,Wood County,Texas,67.1,3.5,116,63.6,,
TX-501,Yoakum County,Texas,61.4,2.5,106,58.9,,
TX-503,Young County,Texas,66.8,3.2,113,63.6,,
TX-505,Zapata County,Texas,78,3,113,75,,
TX-507,Zavala County,Texas,75.7,4.4,121,71.3,,
UT-001,Beaver County,Utah,47.4,2.4,102,45,,
UT-003,Box Elder County,Utah,47.2,2,93,45.2,,
UT-005,Cache County,Utah,43.5,2.7,103,40.8,,
UT-007,Carbon County,Utah,45.1,3.7,111,41.4,,
UT-009,Daggett County,Utah,41.6,3.2,111,38.4,,
UT-011,Davis County,Utah,49,3.1,107,45.9,,
UT-013,Duchesne County,Utah,41.9,3.4,109,38.5,,
UT-015,Emery County,Utah,51.9,4,116,47.9,,
UT-017,Garfield County,Utah,48.6,3.6,112,45,,
UT-019,Grand County,Utah,52.6,4.5,119,48.1,,
UT-021,Iron County,Utah,47.9,3.2,106,44.7,,
UT-023,Juab County,Utah,48.8,2.1,98,46.7,,
UT-025,Kane County,Utah,52,3,104,49,,
UT-027,Millard County,Utah,49.4,1.9,95,47.5,,
UT-029,Morgan County,Utah,43.3,2.9,104,40.4,,
UT-031,Piute County,Utah,42.3,2.8,105,39.5,,
UT-033,Rich County,Utah,41,3.3,109,37.7,,
UT-035,Salt Lake County,Utah,48.2,3,104,45.2,,
UT-037,San Juan County,Utah,53.3,3.5,114,49.8,,
UT-039,Sanpete County,Utah,43.3,2.8,107,40.5,,
UT-041,Sevier County,Utah,43.8,2.9,108,40.9,,
UT-043,Summit County,Utah,37.9,2.8,102,35.1,,
UT-045,Tooele County,Utah,50.4,2.5,101,47.9,,
UT-047,Uintah County,Utah,47.3,3.4,109,43.9,,
UT-049,Utah County,Utah,46.1,2.6,102,43.5,,
UT-051,Wasatch County,Utah,40.3,2.9,105,37.4,,
UT-053,Washington County,Utah,55,3.1,105,51.9,,
UT-055,Wayne County,Utah,52.3,4.4,119,47.9,,
UT-057,Weber County,Utah,46,3.2,109,42.8,,
VT-001,Addison County,Vermont,43.4,2.1,97,41.3,,
VT-003,Bennington County,Vermont,42.5,2.5,97,40,,
VT-005,Caledonia County,Vermont,41,2.3,97,38.7,,
VT-007,Chittenden County,Vermont,44.4,3.3,113,41.1,,
VT-009,Essex County,Vermont,40,2.3,96,37.7,,
VT-011,Franklin County,Vermont,43.8,3.3,108,40.5,,
VT-013,Grand Isle County,Vermont,46,3.6,114,42.4,,
VT-015,Lamoille County,Vermont,41.5,3.1,108,38.4,,
VT-017,Orange County,Vermont,41.8,2,93,39.8,,
VT-019,Orleans County,Vermont,40.8,2.6,101,38.2,,
VT-021,Rutland County,Vermont,42.6,1.9,90,40.7,,
VT-023,Washington County,Vermont,41.6,2.5,103,39.1,,
VT-025,Windham County,Vermont,43.7,2.6,100,41.1,,
VT-027,Windsor County,Vermont,42.6,2,99,40.6,,
VA-001,Accomack County,Virginia,58.4,4.7,122,53.7,,
VA-003,Albemarle County,Virginia,59,5.1,126,53.9,,
VA-005,Alleghany County,Virginia,56.5,4.6,126,51.9,,
VA-007,Amelia County,Virginia,59.8,3.9,120,55.9,,
VA-009,Amherst County,Virginia,58.2,4.4,125,53.8,,
VA-011,Appomattox County,Virginia,59,4.3,126,54.7,,
VA-013,Arlington County,Virginia,58.9,5.1,123,53.8,,
VA-015,Augusta County,Virginia,56.3,5.2,128,51.1,,
VA-017,Bath County,Virginia,55.7,5.1,126,50.6,,
VA-019,Bedford County,Virginia,59.2,4.4,125,54.8,,
VA-021,Bland County,Virginia,54.3,4.3,123,50,,
VA-023,Botetourt County,Virginia,58.3,4.4,123,53.9,,
VA-025,Brunswick County,Virginia,60.3,3.7,121,56.6,,
VA-027,Buchanan County,Virginia,57.8,4.8,126,53,,
VA-029,Buckingham County,Virginia,59.8,4.7,125,55.1,,
VA-031,Campbell County,Virginia,59,4.3,125,54.7,,
VA-033,Caroline County,Virginia,59,4,118,55,,
VA-035,Carroll County,Virginia,55.9,4.7,126,51.2,,
VA-036,Charles City County,Virginia,60.8,3.6,116,57.2,,
VA-037,Charlotte County,Virginia,59.5,4.3,125,55.3,,
VA-041,Chesterfield County,Virginia,60.1,3.6,118,56.5,,
VA-043,Clarke County,Virginia,56.1,4.5,122,51.6,,
VA-045,Craig County,Virginia,56.6,4.8,127,51.8,,
VA-047,Culpeper County,Virginia,58.3,5,126,53.3,,
VA-049,Cumberland County,Virginia,60,4.5,124,55.5,,
VA-051,Dickenson County,Virginia,57.7,4.6,124,53.1,,
VA-053,Dinwiddie County,Virginia,60.3,3.7,118,56.6,,
VA-057,Essex County,Virginia,59.5,4.1,116,55.4,,
VA-059,Fairfax County,Virginia,58.8,5.4,124,53.4,,
VA-061,Fauquier County,Virginia,57.5,5.1,123,52.4,,
VA-063,Floyd County,Virginia,55.3,4.8,125,50.5,,
VA-065,Fluvanna County,Virginia,60,5.1,127,54.9,,
VA-067,Franklin County,Virginia,59.1,4.4,125,54.7,,
VA-069,Frederick County,Virginia,54.9,3.8,117,51.1,,
VA-071,Giles County,Virginia,55.6,4.6,126,51,,
VA-073,Gloucester County,Virginia,60.4,4.1,119,56.3,,
VA-075,Goochland County,Virginia,59.4,4.1,120,55.3,,
VA-077,Grayson County,Virginia,53.4,4.4,124,49,,
VA-079,Greene County,Virginia,57.6,5.3,128,52.3,,
VA-081,Greensville County,Virginia,60.8,3.6,120,57.2,,
VA-083,Halifax County,Virginia,60.2,4.3,127,55.9,,
VA-085,Hanover County,Virginia,59.5,3.8,117,55.7,,
VA-087,Henrico County,Virginia,60.2,3.7,117,56.5,,
VA-089,Henry County,Virginia,59.7,3.8,119,55.9,,
VA-091,Highland County,Virginia,53,5.4,128,47.6,,
VA-093,Isle of Wight County,Virginia,61.1,3.8,117,57.3,,
VA-095,James City County,Virginia,60.8,3.9,119,56.9,,
VA-097,King and Queen County,Virginia,59.9,4,117,56,,
VA-099,King George County,Virginia,58.8,4.1,118,54.7,,
VA-101,King William County,Virginia,60,3.9,117,56.1,,
VA-103,Lancaster County,Virginia,59.6,4.3,118,55.3,,
VA-105,Lee County,Virginia,58,3.5,122,54.5,,
VA-107,Loudoun County,Virginia,57.9,5.8,125,52.1,,
VA-109,Louisa County,Virginia,58.8,4.3,121,54.5,,
VA-111,Lunenburg County,Virginia,59.7,4,123,55.7,,
VA-113,Madison County,Virginia,57.3,5.3,128,52,,
VA-115,Mathews County,Virginia,60.1,4.2,119,55.9,,
VA-117,Mecklenburg County,Virginia,60.5,4.1,126,56.4,,
VA-119,Middlesex County,Virginia,59.9,4.1,118,55.8,,
VA-121,Montgomery County,Virginia,57.1,5.1,126,52,,
VA-125,Nelson County,Virginia,58.1,4.8,125,53.3,,
VA-127,New Kent County,Virginia,60.4,3.8,117,56.6,,
VA-131,Northampton County,Virginia,59.5,4.4,121,55.1,,
VA-133,Northumberland County,Virginia,59.1,4.4,121,54.7,,
VA-135,Nottoway County,Virginia,59.7,3.9,120,55.8,,
VA-137,Orange County,Virginia,58.6,4.7,125,53.9,,
VA-139,Page County,Virginia,55.7,5,126,50.7,,
VA-141,Patrick County,Virginia,58.2,4.2,125,54,,
VA-143,Pittsylvania County,Virginia,59.6,3.8,120,55.8,,
VA-145,Powhatan County,Virginia,59.7,4,119,55.7,,
VA-147,Prince Edward County,Virginia,59.4,4.1,123,55.3,,
VA-149,Prince George County,Virginia,60.9,3.6,116,57.3,,
VA-153,Prince William County,Virginia,58.7,5.2,124,53.5,,
VA-155,Pulaski County,Virginia,56.6,5,126,51.6,,
VA-157,Rappahannock County,Virginia,56.4,4.9,125,51.5,,
VA-159,Richmond County,Virginia,59.4,4.2,118,55.2,,
VA-161,Roanoke County,Virginia,58.7,4.9,127,53.8,,
VA-163,Rockbridge County,Virginia,57.6,4.6,126,53,,
VA-165,Rockingham County,Virginia,56,5.2,129,50.8,,
VA-167,Russell County,Virginia,56.8,4.5,124,52.3,,
VA-169,Scott County,Virginia,57.9,3.5,118,54.4,,
VA-171,Shenandoah County,Virginia,55.4,4.2,121,51.2,,
VA-173,Smyth County,Virginia,54.3,4.1,121,50.2,,
VA-175,Southampton County,Virginia,61,3.6,116,57.4,,
VA-177,Spotsylvania County,Virginia,58.2,4,119,54.2,,
VA-179,Stafford County,Virginia,58.4,4.3,119,54.1,,
VA-181,Surry County,Virginia,60.9,3.8,117,57.1,,
VA-183,Sussex County,Virginia,60.9,3.7,116,57.2,,
VA-185,Tazewell County,Virginia,54.3,4.3,122,50,,
VA-187,Warren County,Virginia,55.4,4,119,51.4,,
VA-191,Washington County,Virginia,56.8,4.1,122,52.7,,
VA-193,Westmoreland County,Virginia,59,4.2,118,54.8,,
VA-195,Wise County,Virginia,56.4,4.1,124,52.3,,
VA-197,Wythe County,Virginia,55.3,4.7,124,50.6,,
VA-199,York County,Virginia,60.8,4,119,56.8,,
VA-510,Alexandria City,Virginia,59.3,5,123,54.3,,
VA-520,Bristol City,Virginia,58.2,3.8,116,54.4,,
VA-530,Buena Vista City,Virginia,58.5,4.4,125,54.1,,
VA-540,Charlottesville City,Virginia,59.4,5,125,54.4,,
VA-550,Chesapeake City,Virginia,61,4,119,57,,
VA-570,Colonial Heights City,Virginia,60.8,3.6,116,57.2,,
VA-580,Covington City,Virginia,57.8,4.3,123,53.5,,
VA-590,Danville City,Virginia,60.6,3.7,118,56.9,,
VA-595,Emporia City,Virginia,60.8,3.5,119,57.3,,
VA-600,Fairfax City,Virginia,58.4,5.2,124,53.2,,
VA-610,Falls Church City,Virginia,58.3,5.1,123,53.2,,
VA-620,Franklin City,Virginia,61.1,3.6,116,57.5,,
VA-630,Fredericksburg City,Virginia,58.2,3.9,118,54.3,,
VA-640,Galax City,Virginia,55.7,4.7,127,51,,
VA-650,Hampton City,Virginia,61,4,119,57,,
VA-660,Harrisonburg City,Virginia,57.1,5.2,128,51.9,,
VA-670,Hopewell City,Virginia,61,3.5,116,57.5,,
VA-680,Lynchburg City,Virginia,59,4.3,125,54.7,,
VA-683,Manassas City,Virginia,58.9,5.5,124,53.4,,
VA-685,Manassas Park City,Virginia,58.8,5.4,124,53.4,,
VA-690,Martinsville City,Virginia,59.7,3.8,121,55.9,,
VA-700,Newport News City,Virginia,61.1,4,118,57.1,,
VA-710,Norfolk City,Virginia,61.3,4.3,120,57,,
VA-720,Norton City,Virginia,56.6,4,123,52.6,,
VA-730,Petersburg City,Virginia,60.8,3.6,116,57.2,,
VA-735,Poquoson City,Virginia,60.9,4.1,120,56.8,,
VA-740,Portsmouth City,Virginia,61.5,4.1,119,57.4,,
VA-750,Radford City,Virginia,57.2,5.1,126,52.1,,
VA-760,Richmond City,Virginia,60.1,3.7,117,56.4,,
VA-770,Roanoke City,Virginia,60,4.9,126,55.1,,
VA-775,Salem City,Virginia,60,5,126,55,,
VA-790,Staunton City,Virginia,57.3,5.3,127,52,,
VA-800,Suffolk City,Virginia,61.2,3.7,116,57.5,,
VA-810,Virginia Beach City,Virginia,60.7,4.2,121,56.5,,
VA-820,Waynesboro City,Virginia,57.4,5.1,126,52.3,,
VA-830,Williamsburg City,Virginia,60.7,4,119,56.7,,
VA-840,Winchester City,Virginia,55.2,3.8,116,51.4,,
WA-001,Adams County,Washington,48.2,0.1,64,48.1,,
WA-003,Asotin County,Washington,47.1,1.5,92,45.6,,
WA-005,Benton County,Washington,51.9,0.3,76,51.6,,
WA-007,Chelan County,Washington,41.6,0.3,75,41.3,,
WA-009,Clallam County,Washington,44.9,0.8,83,44.1,,
WA-011,Clark County,Washington,50.6,1.4,93,49.2,,
WA-013,Columbia County,Washington,45.9,0.8,77,45.1,,
WA-015,Cowlitz County,Washington,47.7,1.1,87,46.6,,
WA-017,Douglas County,Washington,47.7,0.3,75,47.4,,
WA-019,Ferry County,Washington,42.1,0.1,70,42,,
WA-021,Franklin County,Washington,51,0.3,77,50.7,,
WA-023,Garfield County,Washington,46.6,1.1,84,45.5,,
WA-025,Grant County,Washington,49.9,-0.1,63,50,,
WA-027,Grays Harbor County,Washington,47.4,0.2,65,47.2,,
WA-029,Island County,Washington,49.3,0.8,88,48.5,,
WA-031,Jefferson County,Washington,42.6,0.5,80,42.1,,
WA-033,King County,Washington,45.1,0,67,45.1,,
WA-035,Kitsap County,Washington,49.8,0.9,91,48.9,,
WA-037,Kittitas County,Washington,43.1,0,63,43.1,,
WA-039,Klickitat County,Washington,46.5,0.3,71,46.2,,
WA-041,Lewis County,Washington,45.7,1.3,91,44.4,,
WA-043,Lincoln County,Washington,45.6,-0.8,58,46.4,,
WA-045,Mason County,Washington,46.5,0.3,73,46.2,,
WA-047,Okanogan County,Washington,41.9,0.3,74,41.6,,
WA-049,Pacific County,Washington,48.2,1,91,47.2,,
WA-051,Pend Oreille County,Washington,41.8,0.9,82,40.9,,
WA-053,Pierce County,Washington,44.9,1.1,92,43.8,,
WA-055,San Juan County,Washington,48.9,0.7,86,48.2,,
WA-057,Skagit County,Washington,44,0.2,72,43.8,,
WA-059,Skamania County,Washington,43,1.1,86,41.9,,
WA-061,Snohomish County,Washington,44.3,0.1,71,44.2,,
WA-063,Spokane County,Washington,46.4,1.1,87,45.3,,
WA-065,Stevens County,Washington,44.5,0.2,72,44.3,,
WA-067,Thurston County,Washington,49.2,0.6,83,48.6,,
WA-069,Wahkiakum County,Washington,48.4,1.4,98,47,,
WA-071,Walla Walla County,Washington,50.8,0,62,50.8,,
WA-073,Whatcom County,Washington,42.2,0.2,69,42,,
WA-075,Whitman County,Washington,48.2,1.1,88,47.1,,
WA-077,Yakima County,Washington,44.7,0.4,71,44.3,,
WV-001,Barbour County,West Virginia,55.4,5.6,127,49.8,,
WV-003,Berkeley County,West Virginia,55.4,4.4,121,51,,
WV-005,Boone County,West Virginia,58.2,4.5,125,53.7,,
